"client_id";"last_purchase_date";"recency_days";"frequency";"monetary";"r_score";"f_score";"m_score";"rfm_code";"segment"
"2000200220381";2022-06-01;9;6;19388;5;5;5;"555";Champions
"2000200187073";2022-05-21;20;20;19379;5;5;5;"555";Champions
"2000200192053";2022-05-21;20;13;19375;5;5;5;"555";Champions
"2000200239949";2022-06-04;6;15;19330;5;5;5;"555";Champions
"2000200217435";2022-05-21;20;16;19277;5;5;5;"555";Champions
"2000200191773";2022-06-09;1;16;19166;5;5;5;"555";Champions
"2000200165897";2022-05-27;14;12;19096;5;5;5;"555";Champions
"2000200195467";2022-05-25;16;17;19032;5;5;5;"555";Champions
"2000200173687";2022-06-09;1;20;17971;5;5;5;"555";Champions
"2000200173359";2022-06-07;3;18;17832;5;5;5;"555";Champions
"2000200193562";2022-06-02;8;14;17576;5;5;5;"555";Champions
"2000200211457";2022-06-06;4;21;17551;5;5;5;"555";Champions
"2000200212461";2022-06-08;2;7;17537;5;5;5;"555";Champions
"2000200188667";2022-05-25;16;9;17527;5;5;5;"555";Champions
"2000200244974";2022-06-09;1;15;17468;5;5;5;"555";Champions
"2000200225706";2022-06-02;8;14;17452;5;5;5;"555";Champions
"2000200219903";2022-06-09;1;24;17432;5;5;5;"555";Champions
"2000200226611";2022-06-02;8;11;17390;5;5;5;"555";Champions
"2000200249245";2022-05-25;16;8;17353;5;5;5;"555";Champions
"2000200150497";2022-05-25;16;7;17183;5;5;5;"555";Champions
"2000200179863";2022-05-22;19;10;17016;5;5;5;"555";Champions
"2000200173366";2022-06-04;6;13;16908;5;5;5;"555";Champions
"2000200229384";2022-05-27;14;14;16789;5;5;5;"555";Champions
"2000200217619";2022-06-07;3;17;16679;5;5;5;"555";Champions
"2000200189152";2022-05-25;16;12;16670;5;5;5;"555";Champions
"2000200204374";2022-06-08;2;24;16650;5;5;5;"555";Champions
"2000200189718";2022-05-30;11;20;16416;5;5;5;"555";Champions
"2000200204978";2022-05-24;17;10;16384;5;5;5;"555";Champions
"2000200217602";2022-06-02;8;12;16378;5;5;5;"555";Champions
